unit_id,property_name,address,city,province,postal_code,bedrooms,bathrooms,rent,available_date,status
UNIT001,Peter Wall Tower,123 Main St,Victoria,BC,V8W1A1,1,1,1850,2026-01-01,Available
UNIT002,Peter Wall Tower,123 Main St,Victoria,BC,V8W1A1,2,1,2250,2026-02-01,Available
UNIT003,Peter Wall Tower,123 Main St,Victoria,BC,V8W1A1,2,2,2450,2026-03-01,Occupied
UNIT004,Harbour Heights,55 Wharf St,Victoria,BC,V8W1T7,1,1,1750,2026-01-15,Available
UNIT005,Harbour Heights,55 Wharf St,Victoria,BC,V8W1T7,3,2,2950,2026-02-10,Available
UNIT006,Harbour Heights,55 Wharf St,Victoria,BC,V8W1T7,2,2,2550,2026-03-05,Occupied
UNIT007,Oakwood Residences,789 Oak Rd,Victoria,BC,V8X3K2,1,1,1650,2026-01-20,Available
UNIT008,Oakwood Residences,789 Oak Rd,Victoria,BC,V8X3K2,2,1,2100,2026-02-18,Available
UNIT009,Oakwood Residences,789 Oak Rd,Victoria,BC,V8X3K2,2,2,2350,2026-03-12,Occupied
UNIT010,Bayside Flats,10 Ocean View Dr,Victoria,BC,V8V2N5,1,1,1900,2026-01-08,Available
UNIT011,Bayside Flats,10 Ocean View Dr,Victoria,BC,V8V2N5,2,2,2600,2026-02-14,Available
UNIT012,Bayside Flats,10 Ocean View Dr,Victoria,BC,V8V2N5,3,2,3100,2026-03-20,Occupied
UNIT013,Cedar Park,456 Cedar Ave,Victoria,BC,V8P4M3,1,1,1700,2026-01-11,Available
UNIT014,Cedar Park,456 Cedar Ave,Victoria,BC,V8P4M3,2,1,2150,2026-02-21,Available
UNIT015,Cedar Park,456 Cedar Ave,Victoria,BC,V8P4M3,3,2,2850,2026-03-18,Occupied
UNIT016,Lakeview Manor,22 Lake St,Victoria,BC,V8Z1R4,1,1,1600,2026-01-25,Available
UNIT017,Lakeview Manor,22 Lake St,Victoria,BC,V8Z1R4,2,2,2300,2026-02-28,Available
UNIT018,Lakeview Manor,22 Lake St,Victoria,BC,V8Z1R4,3,2,3000,2026-03-30,Occupied
UNIT019,Urban Lofts,900 Douglas St,Victoria,BC,V8W2B9,1,1,1950,2026-01-05,Available
UNIT020,Urban Lofts,900 Douglas St,Victoria,BC,V8W2B9,2,2,2700,2026-02-16,Available
